#,Array size,Array range,Sorting method,Consumedd time,Exceptions,
1,1,0 - 1,Insertion,2.2138 * 10^-5,
,,,Yuelong,1.1236410000000001 * 10^-3,
,,,Quick,1.2418999999999998 * 10^-5,
1,1,1 - 5,Insertion,2.7 * 10^-6,
,,,Yuelong,1.0258999999999998 * 10^-5,
,,,Quick,2.16 * 10^-6,
2,2,0 - 2,Insertion,2.4135899999999997 * 10^-4,
,,,Yuelong,3.392523 * 10^-3,
,,,Quick,4.859000000000001 * 10^-6,
2,2,2 - 10,Insertion,7.561000000000001 * 10^-6,
,,,Yuelong,6.155399999999999 * 10^-5,
,,,Quick,3.24 * 10^-6,
3,10,0 - 10,Insertion,1.49027 * 10^-4,
,,,Yuelong,2.33259 * 10^-4,
,,,Quick,1.4039 * 10^-5,
3,10,10 - 50,Insertion,1.3552799999999998 * 10^-4,
,,,Yuelong,3.06693 * 10^-4,
,,,Quick,1.0258999999999998 * 10^-5,
4,100,0 - 100,Insertion,7.140874999999999 * 10^-3,
,,,Yuelong,1.7359479999999998 * 10^-3,
,,,Quick,1.42547 * 10^-4,
4,100,100 - 500,Insertion,4.79694 * 10^-3,
,,,Yuelong,3.144145 * 10^-3,
,,,Quick,1.28509 * 10^-4,
5,1000,0 - 1000,Insertion,7.9045839 * 10^-2,
,,,Yuelong,1.1581446 * 10^-2,
,,,Quick,1.327744 * 10^-3,
5,1000,1000 - 5000,Insertion,3.4022960999999996 * 10^-2,
,,,Yuelong,5.743477 * 10^-3,
,,,Quick,3.5042899999999997 * 10^-4,
6,10000,0 - 10000,Insertion,1.117415419 * 10^0,
,,,Yuelong,1.7628916000000001 * 10^-2,
,,,Quick,1.279148 * 10^-3,
6,10000,10000 - 50000,Insertion,7.960506779999999 * 10^-1,
,,,Yuelong,1.9011195 * 10^-2,
,,,Quick,1.120402 * 10^-3,
7,20000,0 - 20000,Insertion,3.087782273 * 10^0,
,,,Yuelong,9.999924 * 10^-3,
,,,Quick,2.4935009999999997 * 10^-3,
7,20000,20000 - 100000,Insertion,3.239491171 * 10^0,
,,,Yuelong,1.8367570999999998 * 10^-2,
,,,Quick,2.2273050000000003 * 10^-3,
8,100000,0 - 100000,Insertion,N/A,
,,,Yuelong,1.0592738499999999 * 10^-1,
,,,Quick,1.3460481 * 10^-2,
8,100000,100000 - 500000,Insertion,N/A,
,,,Yuelong,1.2241592099999998 * 10^-1,
,,,Quick,1.4120304 * 10^-2,
9,200000,0 - 200000,Insertion,N/A,
,,,Yuelong,2.1240768099999996 * 10^-1,
,,,Quick,2.3968501 * 10^-2,
9,200000,200000 - 1000000,Insertion,N/A,
,,,Yuelong,8.40469349 * 10^-1,
,,,Quick,2.6234143000000003 * 10^-2,
10,1000000,0 - 1000000,Insertion,N/A,
,,,Yuelong,3.580261272 * 10^0,
,,,Quick,1.54980469 * 10^-1,
10,1000000,1000000 - 5000000,Insertion,N/A,
,,,Yuelong,1.622489355 * 10^0,
,,,Quick,1.20959669 * 10^-1,
11,2000000,0 - 2000000,Insertion,N/A,
,,,Yuelong,5.559585942 * 10^0,
,,,Quick,3.1717308799999997 * 10^-1,
11,2000000,2000000 - 10000000,Insertion,N/A,
,,,Yuelong,1.0100738439 * 10^1,
,,,Quick,2.65657819 * 10^-1,
